ctuniq,boroCT2000,ctrdlong,ctrdlat,popdens,povrate,unemp,busdens,subdens,subacc,intdens,landind,nonres,resid,ptrans,pwalk,propoa,propnonw,borocodenum
BK000100,3000100,-73.993664000,40.700001000,33766.867385,0.2209125475,0.1162068966,19.258669611,6.419556537,1,192.58669611,0.8933291264,0.3366974636,0.6633025364,0.6385964912,0.1372319688,0.1682509506,0.2385931559,3
BK000200,3000200,-74.009396000,40.652183000,4478.6894445,0.3128362798,0.2178423237,13.685834819,0,0,82.115008913,0.1890696423,0.9502583585,0.0497416415,0.5225464191,0.1936339523,0.0779220779,0.6745607334,3
BK000301,3000301,-73.996904000,40.696723000,39352.358328,0.1728124377,0.0463022508,0,0,0,109.39893102,0.4132675939,0.1170077004,0.8829922996,0.7117425539,0.1057856898,0.1153693407,0.1622319301,3
BK000302,3000302,-73.997168000,40.699102000,665.26315789,0.1044303797,0,12.631578947,0,0,46.315789474,0.3396210026,0.9063185319,0.0936814681,0.7489177489,0.0692640693,0,0.1613924051,3
BK000500,3000500,-73.992882000,40.694637000,33813.623589,0.0714885048,0.059569378,5.5761252621,27.88062631,1,105.94637998,0.9815195359,0.4320285647,0.5679714353,0.7502579979,0.112745098,0.1220316623,0.1454485488,3
BK000700,3000700,-73.996325000,40.692278000,25260.472629,0.0744521165,0.0518518519,20.796217861,0,0,90.116944065,0.6879631602,0.2206987111,0.7793012889,0.703214443,0.1061206517,0.0894621295,0.1580680571,3
BK000900,3000900,-73.991857000,40.692036000,13663.573027,0.1335489834,0.0392832529,44.015191529,37.727307025,1,94.318267562,0.6479167211,0.796683029,0.203316971,0.675035868,0.1542324247,0.0805338242,0.2761159687,3
BK001100,3001100,-73.986393000,40.692424000,674.85156361,0,0,86.678182482,130.01727372,1,154.78246872,0.0099618863,0.9975032949,0.0024967051,0.8358208955,0.1641791045,0,0.6146788991,3
BK001300,3001300,-73.987546000,40.697461000,8588.9611945,0.3075412412,0.0343417825,64.096725332,6.7470237192,1,165.30208112,0.4979018698,0.8542944151,0.1457055849,0.5860869565,0.1982608696,0.1127258445,0.3758837392,3
BK001800,3001800,-74.008103000,40.658241000,619.14969541,0.125,0.2857142857,3.4066008,0,0,31.5110574,0.0007391407,0.9998151807,0.0001848193,0.4,0,0.0020632737,0.681568088,3
BK002000,3002000,-74.014827000,40.647232000,10016.705217,0.3309813983,0.1430948419,6.4250835261,0,0,102.80133642,0.5938852981,0.8186356469,0.1813643531,0.5219123506,0.280876494,0.077613855,0.6228351507,3
BK002100,3002100,-73.987578000,40.702528000,2085.3737716,0.1671064204,0.01558753,14.672814576,1.834101822,1,132.05533118,0.6225271936,0.8071940781,0.1928059219,0.6266996292,0.1211372064,0.0043975374,0.2436235708,3
BK002200,3002200,-74.021437000,40.643007000,12438.358254,0.2440535183,0.1098191214,8.8007251798,0,0,82.140101678,0.7680706945,0.7407951959,0.2592048041,0.5483383686,0.166163142,0.15,0.6099056604,3
BK002300,3002300,-73.983872000,40.698919000,24559.802739,0.5737814378,0.2411230388,54.311814992,0,0,81.467722488,0.8073836695,0.2805596149,0.7194403851,0.702247191,0.0966292135,0.0791685095,0.8896505971,3
BK002500,3002500,-73.982461000,40.696453000,11554.171871,0.382767624,0.2362869198,18.100530346,0,0,211.17285403,0.8551260082,0.6903115812,0.3096884188,0.8213592233,0.1417475728,0.0882506527,0.8710182768,3
BK002700,3002700,-73.982812000,40.692427000,4351.1516481,0.2470978441,0.0786885246,21.647520637,50.510881487,1,230.9068868,0.0667780114,0.9830170775,0.0169829225,0.7758007117,0.0355871886,0.0663349917,0.8341625207,3
BK002901,3002901,-73.978676000,40.695775000,43870.889011,0.60888002,0.3142100618,30.508267741,0,0,142.37191612,0.9980613731,0.4779850796,0.5220149204,0.4902234637,0.3770949721,0.075336115,0.9091330552,3
BK002902,3002902,-73.976706000,40.696844000,9171.9416096,0.2524115756,0.138576779,43.060758731,0,0,43.060758731,0.3124226992,0.0853985948,0.9146014052,0.5608695652,0.1260869565,0.082942097,0.9733959311,3
BK003000,3003000,-74.029117000,40.638765000,20618.980141,0.1449203187,0.0585729499,10.268416405,0,0,102.68416405,0.1455487783,0.0378173463,0.9621826537,0.5795724466,0.0534441805,0.1494023904,0.2624501992,3
BK003100,3003100,-73.979239000,40.690649000,9652.7059484,0.170800451,0.0991150442,28.049999123,0,0,59.606248137,0.8412871301,0.6991939192,0.3008060808,0.5334018499,0.2846865365,0.2037776971,0.8085724664,3
BK003200,3003200,-74.040213000,40.629142000,0,,,17.110730873,0,0,25.666096309,0,1,0,,,,,3
