ctuniq,boroCT2000,ctrdlong,ctrdlat,popdens,povrate,unemp,busdens,subdens,subacc,intdens,landind,nonres,resid,ptrans,pwalk,propoa,propnonw,borocodenum,precpop,precinct,offpcap
BK070203,3070203,-73.854316,40.623491,0,,,0,0,0,0,,,,,,,,3,0,,
QN077902,4077902,-73.823303,40.72387,9518.376171,0.106901725,0.065404475,7.065040765,0,0,95.37805033,0.763875023,0.257036537,0.742963463,0.383542538,0.072524407,0.137316756,0.176470588,4,5389,,
BK107000,3107000,-73.873345,40.645881,101.3714453,,,4.482410847,0,0,27.23926592,0,1,0,,,0.108843537,0.629251701,3,294,,
QN162200,4162200,-73.830936,40.538898,,,,0,0,0,0,,,,,,,,4,0,,
MN003900,1003900,-74.010114,40.722362,15772.31279,0.063172672,0.056641404,18.42129502,0,0,165.7916552,0.896896354,0.660548782,0.339451218,0.530218603,0.15302186,0.118196683,0.157439851,1,4292,1,0.084991718
MN000100,1000100,-74.039423,40.699746,0,,,0,0,0,0,0,1,0,,,,,1,0,1,0.084991718
MN031701,1031701,-74.015796,40.712077,15910.14603,0.054727614,0.025101644,39.85008398,0,0,119.550252,0.806068117,0.720188489,0.279811511,0.453488372,0.378368402,0.042329368,0.248841578,1,7951,1,0.084991718
MN000900,1000900,-74.012449,40.704085,5563.622319,0.115114236,0.051373955,73.33421334,44.00052801,1,141.7794791,0.094086064,0.975897556,0.024102444,0.461832061,0.301526718,0.044815466,0.275043937,1,1111,1,0.084991718
MN001501,1001501,-74.00365,40.709677,23685.07793,0.091000756,0.102272727,99.40721906,26.15979449,1,177.8866025,0.658051597,0.792381772,0.207618228,0.451371571,0.395012469,0.276783742,0.334658714,1,4562,1,0.084991718
MN005100,1005100,-74.005009,40.725825,9393.588937,0.055329062,0.097647897,39.03829168,58.55743753,1,121.9946615,0.242987807,0.935032238,0.064967762,0.606635071,0.210900474,0.097662338,0.209350649,1,1921,1,0.084991718
MN001502,1001502,-74.006133,40.708133,24976.36856,0.119158045,0.033525595,25.37604121,76.12812363,1,183.9762988,0.504818385,0.85184571,0.14815429,0.619930475,0.268057165,0.005842012,0.242316485,1,3937,1,0.084991718
MN002100,1002100,-74.010457,40.715464,10525.30137,0.037379252,0.049170955,108.9402212,92.18018713,1,104.7502126,0.44963982,0.870931321,0.129068679,0.558662614,0.285714286,0.015525478,0.207404459,1,2407,1,0.084991718
MN031900,1031900,-74.005391,40.704786,575.4939979,0.144295302,0,15.4495033,7.724751649,1,65.66038902,0,1,0,0.569306931,0.257425743,0.063758389,0.597315436,1,332,1,0.084991718
MN004700,1004700,-74.002823,40.723172,15143.7819,0.090834361,0.062076749,31.1216233,18.67297398,1,118.2621686,0.81409344,0.715584415,0.284415585,0.523547401,0.259938838,0.084258118,0.163584053,1,2463,1,0.084991718
MN001300,1001300,-74.012812,40.709045,5217.565805,0.173076923,0.051191527,120.4053647,120.4053647,1,163.8850798,0.261338888,0.929726981,0.070273019,0.642857143,0.245173745,0.008974359,0.239102564,1,1525,1,0.084991718
MN004900,1004900,-74.000921,40.725466,23426.43119,0.075449102,0.048787447,42.08340932,14.02780311,1,102.8705561,0.872408004,0.678600109,0.321399891,0.541385653,0.225628449,0.102994012,0.133532934,1,5010,1,0.084991718
MN000500,1000500,-74.019214,40.689063,0,,,0,0,0,65.84877941,0,0,1,,,,,1,2,1,0.084991718
MN003300,1003300,-74.006405,40.719961,10729.37771,0.022659833,0.034421576,83.93632417,31.83791606,1,173.6613604,0.667256799,0.788419487,0.211580513,0.53747646,0.211299435,0.011599676,0.150256272,1,3696,1,0.084991718
MN005300,1005300,-74.008869,40.726463,2718.578206,0,0.044378698,30.12275021,0,0,97.89893817,0.30721672,0.916168019,0.083831981,0.39527027,0.385135135,0.069252078,0.088642659,1,335,1,0.084991718
MN000700,1000700,-74.008588,40.706019,5014.721146,0.090425532,0.039141414,47.6583847,84.72601724,1,206.519667,0.27984303,0.924310314,0.075689686,0.470509383,0.439678284,0,0.367476241,1,907,1,0.084991718
MN003601,1003601,-73.991263,40.722779,30795.51963,0.385836386,0.117826618,46.94438968,18.77775587,1,122.0554132,0.989531777,0.551157166,0.448842834,0.462665736,0.368457781,0.074695122,0.713109756,1,3280,5,0.027497567
MN001600,1001600,-73.992755,40.716268,46118.95404,0.277194456,0.087224851,28.8303526,0,0,153.7618805,0.953086047,0.608298146,0.391701855,0.435843794,0.394467689,0.157011878,0.934778079,1,9598,5,0.027497567
MN004500,1004500,-73.998972,40.721244,10927.71204,0.135407136,0.036603221,0,59.65993835,1,139.2065228,0.45467536,0.869230497,0.130769503,0.422492401,0.294832827,0.040946315,0.343949045,1,1066,5,0.027497567
MN000800,1000800,-73.9938,40.712451,55375.48505,0.266905549,0.086762422,30.4344518,0,0,223.1859799,0.994344648,0.537601036,0.462398964,0.404921217,0.451759119,0.159292846,0.891911697,1,10917,5,0.027497567
MN002900,1002900,-74.001481,40.712848,24151.90121,0.365336658,0.062956946,19.52457656,6.508192187,1,136.6720359,0.320015577,0.91230584,0.08769416,0.305543037,0.570076611,0.201158717,0.88183778,1,7422,5,0.027497567
MN004300,1004300,-73.995797,40.724373,33746.32171,0.208410637,0.075418994,27.82628053,48.69599093,1,139.1314027,0.763896789,0.742952265,0.257047735,0.577513431,0.260168841,0.123685838,0.416615131,1,4884,5,0.027497567
MN002500,1002500,-73.999285,40.710907,49424.53484,0.483665185,0.172245892,37.95318475,0,0,123.3478504,0.803637217,0.278435798,0.721564203,0.453373768,0.39651251,0.229986562,0.79976963,1,5209,5,0.027497567
MN003100,1003100,-74.003274,40.716816,8209.264671,0.139966273,0.584179971,19.7456757,69.10986494,1,157.9654056,0.179607904,0.952877493,0.047122507,0.62745098,0.221568628,0.025255562,0.503908599,1,1726,5,0.027497567
MN002700,1002700,-73.998341,40.71298,25597.86684,0.268229167,0.068006182,83.32638947,0,0,183.3180568,0.998897768,0.483400061,0.516599939,0.514834206,0.403141361,0.293619792,0.805338542,1,1517,5,0.027497567
MN004100,1004100,-73.996639,40.720249,46121.71522,0.314582587,0.060519419,10.57473695,5.287368477,1,132.1842119,0.90704518,0.652442465,0.347557535,0.435787211,0.420472864,0.195574917,0.806373954,1,8957,5,0.027497567
MN001800,1001800,-73.990641,40.719241,48312.37276,0.315167044,0.140699816,61.83527084,47.56559295,1,161.723016,0.90493129,0.654166071,0.345833929,0.423747517,0.417567866,0.111253323,0.860588757,1,10157,5,0.027497567
MN007300,1007300,-74.003534,40.734327,40160.18512,0.046445639,0.026300634,71.939427,29.97476125,1,149.8738063,0.816886736,0.286041322,0.713958678,0.601782459,0.232124772,0.111061352,0.115390357,1,6699,6,0.037438439
MN006100,1006100,-73.991764,40.734504,36655.64818,0.084763391,0.043047222,35.9298649,28.74389192,1,86.23167577,0.807129776,0.719584963,0.280415037,0.498411782,0.330060641,0.058615958,0.176239953,1,5101,6,0.037438439
MN006700,1006700,-74.00436,40.731061,34118.86299,0.085359361,0.03701016,30.2204278,18.13225668,1,193.4107379,0.974702032,0.420473326,0.579526674,0.629401182,0.21999486,0.102391497,0.128077945,1,5645,6,0.037438439
MN007900,1007900,-74.007121,40.739627,25177.27584,0.06365083,0.055010407,38.32991102,0,0,219.028063,0.999228377,0.513889053,0.486110947,0.586683821,0.176584111,0.123749456,0.113962592,1,4598,6,0.037438439
MN007500,1007500,-74.007633,40.735084,32341.22516,0.075630252,0.034848988,46.59000023,0,0,163.0650008,0.879607406,0.32651182,0.67348818,0.5786497,0.215977377,0.061464586,0.103961585,1,4165,6,0.037438439
MN007100,1007100,-74.000745,40.735405,34839.53357,0.083985765,0.047368421,24.79682105,37.19523157,1,161.1793368,0.988125796,0.554484411,0.445515589,0.642655004,0.227424749,0.142170819,0.120818505,1,5620,6,0.037438439
