"","ctuniq","Name"
"1","MN000100","Ellis Island"
"2","MN000201","Lower East Side"
"3","MN000202","Lower East Side"
"4","MN000500","Governors Island"
"5","MN000600","Lower East Side"
"6","MN000700","Financial District"
"7","MN000800","Lower East Side"
"8","MN000900","Financial District"
"9","MN001001","Lower East Side"
"10","MN001002","Lower East Side"
"11","MN001200","Lower East Side"
"12","MN001300","Financial District"
"13","MN001401","Lower East Side"
"14","MN001402","Lower East Side"
"15","MN001501","Financial District"
"16","MN001502","Financial District"
"17","MN001600","Chinatown"
"18","MN001800","Lower East Side"
"19","MN002000","East Village"
"20","MN002100","Tribeca"
"21","MN002201","Lower East Side"
"22","MN002202","East Village"
"23","MN002400","East Village"
"24","MN002500","Lower East Side"
"25","MN002601","East Village"
"26","MN002602","East Village"
"27","MN002700","Lower East Side"
"28","MN002800","East Village"
"29","MN002900","Lower East Side"
"30","MN003001","Lower East Side"
"31","MN003002","East Village"
"32","MN003100","Tribeca"
"33","MN003200","East Village"
"34","MN003300","Tribeca"
"35","MN003400","East Village"
"36","MN003601","Lower East Side"
"37","MN003602","East Village"
"38","MN003800","East Village"
"39","MN003900","Tribeca"
"40","MN004000","East Village"
"41","MN004100","Little Italy"
"42","MN004200","Greenwich Village"
"43","MN004300","Little Italy"
"44","MN004401","Stuyvesant Town"
"45","MN004402","Gramercy"
"46","MN004500","SoHo"
"47","MN004700","SoHo"
"48","MN004800","Gramercy"
"49","MN004900","SoHo"
"50","MN005000","Gramercy"
"51","MN005100","SoHo"
"52","MN005200","Flatiron District"
"53","MN005300","SoHo"
"54","MN005400","Flatiron District"
"55","MN005501","Greenwich Village"
"56","MN005502","NoHo"
"57","MN005600","Flatiron District"
"58","MN005700","Greenwich Village"
"59","MN005800","Flatiron District"
"60","MN005900","Greenwich Village"
"61","MN006000","Gramercy"
"62","MN006100","Greenwich Village"
"63","MN006200","Gramercy"
"64","MN006300","Greenwich Village"
"65","MN006400","Gramercy"
"66","MN006500","Greenwich Village"
"67","MN006600","Gramercy"
"68","MN006700","Greenwich Village"
"69","MN006800","Gramercy"
"70","MN006900","West Village"
"71","MN007000","Gramercy"
"72","MN007100","Greenwich Village"
"73","MN007200","Gramercy"
"74","MN007300","West Village"
"75","MN007400","Flatiron District"
"76","MN007500","West Village"
"77","MN007600","Garment District"
"78","MN007700","West Village"
"79","MN007800","Tudor City"
"80","MN007900","West Village"
"81","MN008000","Murray Hill"
"82","MN008100","Chelsea"
"83","MN008200","Murray Hill"
"84","MN008300","Chelsea"
"85","MN008400","Garment District"
"86","MN008600","Turtle Bay"
"87","MN008700","Chelsea"
"88","MN008800","Tudor City"
"89","MN008900","Chelsea"
"90","MN009000","Turtle Bay"
"91","MN009100","Chelsea"
"92","MN009200","Midtown"
"93","MN009300","Chelsea"
"94","MN009400","Midtown"
"95","MN009500","Flatiron District"
"96","MN009600","Midtown"
"97","MN009700","Chelsea"
"98","MN009800","Turtle Bay"
"99","MN009900","Chelsea"
"100","MN010000","Turtle Bay"
"101","MN010100","Garment District"
"102","MN010200","Midtown"
"103","MN010300","Chelsea"
"104","MN010400","Midtown"
"105","MN010601","Sutton Place"
"106","MN010602","Upper East Side"
"107","MN010800","Sutton Place"
"108","MN010900","Garment District"
