"","precinct","NTANAme"
"1",1,"park-cemetery-etc-Manhattan"
"2",1,"Battery Park City-Lower Manhattan"
"3",1,"SoHo-TriBeCa-Civic Center-Little Italy"
"4",5,"Chinatown"
"5",5,"SoHo-TriBeCa-Civic Center-Little Italy"
"6",6,"West Village"
"7",7,"Lower East Side"
"8",7,"Chinatown"
"9",9,"Lower East Side"
"10",9,"East Village"
"11",9,"West Village"
"12",10,"Hudson Yards-Chelsea-Flatiron-Union Square"
"13",10,"Clinton"
"14",10,"park-cemetery-etc-Manhattan"
"15",13,"Stuyvesant Town-Cooper Village"
"16",13,"Murray Hill-Kips Bay"
"17",13,"Gramercy"
"18",13,"Hudson Yards-Chelsea-Flatiron-Union Square"
"19",13,"Midtown-Midtown South"
"20",14,"Midtown-Midtown South"
"21",17,"Murray Hill-Kips Bay"
"22",17,"Turtle Bay-East Midtown"
"23",18,"Turtle Bay-East Midtown"
"24",18,"Midtown-Midtown South"
"25",18,"Clinton"
"26",18,"Lincoln Square"
"27",19,"Lenox Hill-Roosevelt Island"
"28",19,"Upper East Side-Carnegie Hill"
"29",19,"Yorkville"
"30",20,"Lincoln Square"
"31",20,"Upper West Side"
"32",22,"park-cemetery-etc-Manhattan"
"33",23,"East Harlem South"
"34",23,"East Harlem North"
"35",24,"Upper West Side"
"36",24,"Morningside Heights"
"37",24,"park-cemetery-etc-Manhattan"
"38",25,"East Harlem North"
"39",25,"Central Harlem North-Polo Grounds"
"40",25,"park-cemetery-etc-Manhattan"
"41",26,"Morningside Heights"
"42",26,"Manhattanville"
"43",28,"Central Harlem South"
"44",30,"Manhattanville"
"45",30,"Hamilton Heights"
"46",32,"Central Harlem North-Polo Grounds"
"47",33,"Washington Heights South"
"48",33,"park-cemetery-etc-Manhattan"
"49",34,"Washington Heights South"
"50",34,"Washington Heights North"
"51",34,"Marble Hill-Inwood"
"52",34,"park-cemetery-etc-Manhattan"
"53",40,"Mott Haven-Port Morris"
"54",40,"Melrose South-Mott Haven North"
"55",40,"Hunts Point"
"56",41,"park-cemetery-etc-Bronx"
"57",41,"Longwood"
"58",41,"Hunts Point"
"59",42,"Morrisania-Melrose"
"60",42,"Crotona Park East"
"61",42,"East Concourse-Concourse Village"
"62",42,"Claremont-Bathgate"
"63",42,"park-cemetery-etc-Bronx"
"64",43,"Soundview-Castle Hill-Clason Point-Harding Park"
"65",43,"park-cemetery-etc-Bronx"
"66",43,"Soundview-Bruckner"
"67",43,"West Farms-Bronx River"
"68",43,"Crotona Park East"
"69",43,"Westchester-Unionport"
"70",43,"Parkchester"
"71",44,"park-cemetery-etc-Bronx"
"72",44,"West Concourse"
"73",44,"East Concourse-Concourse Village"
"74",44,"Highbridge"
"75",44,"Mount Hope"
"76",45,"Schuylerville-Throgs Neck-Edgewater Park"
"77",45,"Van Nest-Morris Park-Westchester Square"
"78",45,"Westchester-Unionport"
"79",45,"Pelham Bay-Country Club-City Island"
"80",45,"park-cemetery-etc-Bronx"
"81",45,"Co-op City"
"82",45,"Eastchester-Edenwald-Baychester"
"83",46,"University Heights-Morris Heights"
"84",46,"Mount Hope"
"85",46,"Fordham South"
"86",46,"Bedford Park-Fordham North"
"87",47,"Eastchester-Edenwald-Baychester"
"88",47,"Williamsbridge-Olinville"
"89",47,"Woodlawn-Wakefield"
"90",47,"Co-op City"
"91",48,"Crotona Park East"
