"","CT2000_unique","avgChronCond","numPatients"
"1","QN018900",5.49090909090909,110
"2","QN162100",4.94029850746269,134
"3","MN023800",5.26535626535627,407
"4","BK017800",6.44444444444444,180
"5","MN017900",5.00925925925926,324
"6","QN099702",5.61985145172181,1481
"7","QN099701",5.63063063063063,222
"8","QN054200",4.65454545454545,110
"9","MN001800",5.03787878787879,264
"10","BK016700",5.01204819277108,83
"11","QN103300",5.52232142857143,224
"12","QN099100",5.50608695652174,575
"13","QN063500",4.70909090909091,110
"14","MN007700",5.13440860215054,186
"15","BX031700",7.04017857142857,672
"16","MN016700",5.10876132930514,331
"17","BX026400",5.74,150
"18","QN004500",5.40282685512368,283
"19","BX043100",6.20408163265306,294
"20","QN096200",6.81818181818182,99
"21","QN120500",6.43642611683849,291
"22","QN117500",5.26404494382022,178
"23","SI022600",5.25128205128205,195
"24","MN010000",5.44036697247706,109
"25","MN019100",4.84193548387097,310
"26","QN006300",5.32716049382716,162
"27","MN008100",5.07070707070707,198
"28","MN014402",5.20422535211268,284
"29","QN129101",5.79724409448819,508
"30","MN007000",5.51791530944625,307
"31","MN019900",5.50479233226837,313
"32","MN006700",5,151
"33","MN015200",5.38575667655786,337
"34","MN014802",5.11481481481481,270
"35","MN015900",5.05228758169935,459
"36","QN075700",5.77647058823529,765
"37","MN015500",5.15921052631579,760
"38","MN009300",5.51683168316832,505
"39","MN015002",5.07883817427386,482
"40","MN013000",5.24552429667519,391
"41","BK070201",5.93899782135076,459
"42","QN155101",5.912,875
"43","MN010800",5.29482071713147,502
"44","BK000302",4.48,25
"45","MN008200",5.35119047619048,168
"46","MN011402",5.44767441860465,172
"47","BK056700",5.16842105263158,95
"48","MN007100",5.4337899543379,219
"49","MN014200",5.33888888888889,360
"50","MN001501",5.23182711198428,509
"51","MN027100",5.64244186046512,344
"52","QN077905",4.93478260869565,92
"53","MN012000",5.22270742358079,458
"54","QN050201",5.11111111111111,27
"55","MN017500",5.61397058823529,544
"56","MN016001",4.8125,192
"57","MN010601",5.34388185654008,948
"58","MN012600",5.35820895522388,871
"59","QN013800",6.25190839694656,131
"60","MN008800",5.0530612244898,245
"61","QN086300",5.32835820895522,201
"62","QN091601",5.18974358974359,390
"63","SI017010",5.34123222748815,211
"64","BK038300",4.62,50
"65","QN103202",6.24038461538461,208
"66","BK000100",5.21033210332103,271
"67","BK053400",7.07037037037037,270
"68","BX017500",5.58490566037736,106
"69","QN116300",5.84308510638298,376
"70","BX026602",5.1375,240
"71","QN005900",5.7378640776699,103
"72","BK061001",7.50583333333333,1200
"73","BK105800",7.22737955346651,1702
"74","BK028400",6.3719806763285,207
"75","BX006500",5.453125,64
"76","QN120300",5.33333333333333,48
"77","QN074300",6.41296928327645,293
"78","BK005000",5.68055555555556,144
"79","QN029100",6.10648148148148,216
"80","BK073200",5.87719298245614,57
"81","SI018902",5.36864406779661,236
"82","BK023300",5.35,80
"83","MN020500",5.05839416058394,137
"84","MN006300",5.36624203821656,314
"85","MN017000",5.4,325
"86","MN031701",5.62171052631579,304
"87","BK054200",7.04325699745547,393
"88","BX029700",5.54308093994778,383
"89","MN027500",5.43262411347518,141
"90","QN129102",5.47698744769875,239
"91","MN013400",5.2874109263658,421
"92","BK003100",6.56837606837607,234
"93","BK004000",5.17365269461078,167
"94","MN023700",5.04848484848485,165
"95","BK059300",4.25,40
"96","MN004900",4.96045197740113,177
"97","BX037200",4.54545454545455,55
"98","MN017300",5.2080378250591,423
"99","MN012800",5.27112676056338,568
"100","MN017100",5.07868020304569,394
"101","MN013700",5.12813370473538,359
"102","MN015300",4.80927835051546,388
"103","MN009800",5.11026615969582,263
"104","BK045000",5.42553191489362,94
"105","BK024000",6.6177370030581,327
"106","BK107800",4.85106382978723,94
"107","MN018700",5.01683501683502,297
"108","MN009100",5.140625,128
"109","MN015400",5.30385487528345,441
"110","MN011401",5.50442477876106,113
