"","CTLabel","BoroCode","BoroName","CT2000","BoroCT2000","CDEligibil","NTACode","NTANAme","PUMA","Shape_Leng","Shape_Area","id","Name","popdens","povrate","unemp","busdens","subdens","subacc","intdens","landind","nonres","resid","ptrans","pwalk","propoa","propnonw","offpcap","avg_er_charges_tot","avg_charges_tot","avgChronCond","ctrdlong","ctrdlat"
"1","32","1","Manhattan","003200","1003200","E","MN22","East Village","3809",6358.3866147,2334190.14301,"0",NA,36756.6477,0.13314411,0.052358114,45.85410142,0,0,68.78115213,0.809725678,0.281897775,0.718102225,0.584901625,0.211291702,0.18250998,0.244760479,0.029335479,1475.3191643454,56915.5209466912,5.90673575129534,-73.983143,40.725147
"2","33","1","Manhattan","003300","1003300","I","MN24","SoHo-TriBeCa-Civic Center-Little Italy","3810",8170.73894838,3677831.75376,"1",NA,10729.37771,0.022659833,0.034421576,83.93632417,31.83791606,1,173.6613604,0.667256799,0.788419487,0.211580513,0.53747646,0.211299435,0.011599676,0.150256272,0.084991718,1865.09136363636,44858.0055294118,5.10169491525424,-74.006405,40.719961
"3","34","1","Manhattan","003400","1003400","E","MN22","East Village","3809",5503.25802052,1717138.76647,"2",NA,41656.3494,0.232859979,0.035160768,57.14176873,12.69817083,1,57.14176873,0.929198942,0.366957659,0.633042341,0.534215784,0.252997003,0.052735863,0.326169791,0.029335479,1428.2613592233,44069.3381097561,5.66964285714286,-73.982355,40.730324
"4","38","1","Manhattan","003800","1003800","I","MN22","East Village","3809",5841.73207879,2180724.95147,"3",NA,45775.89696,0.178479164,0.046648181,29.97766664,0,0,94.92927769,0.998364337,0.520221664,0.479778336,0.577437859,0.269772293,0.089281816,0.288364986,0.029335479,1393.56033333333,43934.9142834138,5.13636363636364,-73.989167,40.728501
"5","39","1","Manhattan","003900","1003900","I","MN24","SoHo-TriBeCa-Civic Center-Little Italy","3810",8478.26263547,3000513.57063,"4",NA,15772.31279,0.063172672,0.056641404,18.42129502,0,0,165.7916552,0.896896354,0.660548782,0.339451218,0.530218603,0.15302186,0.118196683,0.157439851,0.084991718,1569.83844827586,53101.1708815427,5.48818897637795,-74.010114,40.722362
"6","41","1","Manhattan","004100","1004100","E","MN24","SoHo-TriBeCa-Civic Center-Little Italy","3810",5913.97990681,2059017.63006,"5",NA,46121.71522,0.314582587,0.060519419,10.57473695,5.287368477,1,132.1842119,0.90704518,0.652442465,0.347557535,0.435787211,0.420472864,0.195574917,0.806373954,0.027497567,1230.67049382716,34727.6332094082,5.11764705882353,-73.996639,40.720249
"7","49","1","Manhattan","004900","1004900","I","MN24","SoHo-TriBeCa-Civic Center-Little Italy","3810",6657.79709525,2231536.53434,"6",NA,23426.43119,0.075449102,0.048787447,42.08340932,14.02780311,1,102.8705561,0.872408004,0.678600109,0.321399891,0.541385653,0.225628449,0.102994012,0.133532934,0.084991718,1540.37098039216,47671.3738955823,4.96045197740113,-74.000921,40.725466
"8","51","1","Manhattan","005100","1005100","I","MN24","SoHo-TriBeCa-Civic Center-Little Italy","3810",6739.80927193,2216896.95205,"7",NA,9393.588937,0.055329062,0.097647897,39.03829168,58.55743753,1,121.9946615,0.242987807,0.935032238,0.064967762,0.606635071,0.210900474,0.097662338,0.209350649,0.084991718,1605.46383333333,56256.246821192,5.23636363636364,-74.005009,40.725825
"9","57","1","Manhattan","005700","1005700","I","MN23","West Village","3810",4749.17543819,1155681.4122,"8",NA,24053.61314,0.07283237,0.023282226,74.15372066,74.15372066,1,120.4997961,0.761771885,0.744043088,0.255956912,0.595478882,0.209399167,0.157996146,0.087861272,0.029335479,1834.10737142857,68429.0780725191,5.32432432432432,-73.99205,40.730763
"10","66","1","Manhattan","006600","1006600","I","MN20","Murray Hill-Kips Bay","3808",5496.51388719,1880342.66352,"9",NA,66544.90278,0.159605027,0.080651844,22.47948747,0,0,73.05833427,0.799695309,0.276222939,0.723777061,0.608029421,0.266625805,0.130985559,0.347183515,0.039018939,1715.76379166667,41665.8914314652,5.30409356725146,-73.978795,40.739313
"11","68","1","Manhattan","006800","1006800","I","MN21","Gramercy","3808",5723.88278733,1877943.13247,"10",NA,38770.68287,0.127308808,0.048918537,109.0838108,34.4475192,1,126.3075704,0.333856397,0.908088104,0.091911896,0.579150579,0.277134277,0.081593366,0.20746335,0.039018939,1477.50045454545,49579.0578646935,5.27878787878788,-73.983474,40.740474
"12","69","1","Manhattan","006900","1006900","I","MN23","West Village","3810",4888.34766193,1420210.35665,"11",NA,18226.48448,0.045259648,0.02946376,15.25867265,0,0,152.5867265,0.558914266,0.832071428,0.167928572,0.610668302,0.189454323,0.027626622,0.159480954,0.037438439,1832.32105263158,33464.9841025641,4.5,-74.008457,40.731278
"13","73","1","Manhattan","007300","1007300","I","MN23","West Village","3810",5731.98601377,1780827.33792,"12",NA,40160.18512,0.046445639,0.026300634,71.939427,29.97476125,1,149.8738063,0.816886736,0.286041322,0.713958678,0.601782459,0.232124772,0.111061352,0.115390357,0.037438439,1261.66953947368,48597.85466,5.06896551724138,-74.003534,40.734327
"14","75","1","Manhattan","007500","1007500","I","MN23","West Village","3810",4893.14533825,1429980.81414,"13",NA,32341.22516,0.075630252,0.034848988,46.59000023,0,0,163.0650008,0.879607406,0.32651182,0.67348818,0.5786497,0.215977377,0.061464586,0.103961585,0.037438439,1593.44558441558,46723.3650972763,5.07865168539326,-74.007633,40.735084
"15","84","1","Manhattan","008400","1008400","I","MN17","Midtown-Midtown South","3807",5690.7023947,1862757.0755,"14",NA,6759.868227,0.165065502,0.054568528,100.3648558,41.32670532,1,53.13433541,0.189094605,0.950251428,0.049748572,0.50473613,0.364005413,0.041921397,0.534497817,0.727919321,1113.72615384615,38514.6739130435,4.5,-73.984251,40.752141
"16","89","1","Manhattan","008900","1008900","I","MN13","Hudson Yards-Chelsea-Flatiron-Union Square","3807",5578.76949834,1782278.35109,"15",NA,32462.18339,0.091897045,0.066180302,18.30574251,0,0,61.01914171,0.963907751,0.405010199,0.594989801,0.576966933,0.258266819,0.094924812,0.227067669,0.037582666,1487.98898648649,49441.6585642317,5.39130434782609,-74.004017,40.74559
"17","96","1","Manhattan","009600","1009600","I","MN17","Midtown-Midtown South","3807",5737.35624626,1887288.44753,"16",NA,971.3902445,0.095238095,0.04964539,92.51335662,40.47459352,1,57.82084789,0.02659619,0.993306145,0.006693855,0.373134328,0.582089552,0.136904762,0.422619048,0.093729627,3163.73941176471,51028.0941025641,6.4,-73.98102,40.75653
