,Precinct,Shape_Leng,Shape_Area,id,precpop,offpcap
1,1,79979.3433,47182078.43,0,2528.1875,0.084991718
2,5,18676.12426,18088797.95,1,5884.818182,0.027497567
3,6,27182.61011,22131930.52,2,5313.166667,0.037438439
4,7,17301.47578,18363385.18,3,5090.4,0.019448373
5,9,19773.40187,21394013.38,4,4806.466667,0.029335479
6,10,40043.17525,27228634.24,5,3381.636364,0.037582666
7,13,27719.17167,29508893.74,6,5313.125,0.039018939
8,14,20974.70924,20510163.83,7,1345.714286,0.727919321
9,17,26622.00281,22269687.05,8,6553.916667,0.025786108
10,18,42179.90578,32280333.9,9,3323.388889,0.093729627
11,19,30152.65663,48744682.05,10,6694.935484,0.020178951
12,20,27040.99438,27671000.15,11,7395.538462,0.018119032
13,22,32701.34917,38301388.66,12,18,6.944444444
14,23,19438.11209,21467730.83,13,4980.769231,0.023305019
15,24,20706.91908,25479873.37,14,8394.230769,0.01424055
16,25,52199.00738,44793124.96,15,4076.384615,0.02171985
17,26,23938.49709,23836014.45,16,4130.166667,0.022033009
18,28,17098.98709,15289544.6,17,3552.272727,0.030633397
19,30,21627.00087,18837442.23,18,6943.111111,0.023732557
20,32,25291.41136,23009990.36,19,3982.705882,0.025064248
21,33,21744.60225,25863124.5,20,6590.461538,0.015278491
22,34,45567.0203,52113460.92,21,6136.9,0.016107481
23,40,33335.01937,60404982.05,22,3288.96,0.029784491
24,41,48004.21216,62136802.83,23,2679.111111,0.038030856
25,42,33516.16326,44818131.9,24,3360.85,0.027344273
26,43,62190.12935,113325221.6,25,4008.428571,0.021240957
27,44,31395.73855,55530142.11,26,4761,0.026689554
28,45,309283.1577,271366645.1,27,3664.5625,0.017353709
29,46,29627.9861,38323373.38,28,5076.384615,0.022525116
30,47,86531.091,160530903.2,29,3105.652174,0.020663587
31,48,34316.34484,43057143.45,30,3345.954545,0.03041665
32,49,45768.17592,105809974.1,31,2875.075,0.022355939
33,50,52230.50519,136112621.5,32,3741.296296,0.017284562
34,52,65671.23448,80116628.67,33,5066.464286,0.025792854
35,60,66157.63573,88169556.06,34,4412,0.021604714
36,61,128324.2229,134635110.1,35,2866.981818,0.022735344
37,62,51716.701,103208535.3,36,3077.890909,0.014868505
38,63,205126.1758,229441742,37,2335.680851,0.019976862
39,66,52362.50078,99520789.11,38,3450.294118,0.012508169
40,67,43288.94314,93744758.44,39,3369.46,0.023659578
41,68,44530.86742,110940958.6,40,2329.132075,0.014589612
42,69,119784.8216,107316655.3,41,2472.742857,0.02600929
43,70,49075.67363,82181407.82,42,4148.5,0.026666265
44,71,29978.09426,45331787.17,43,4155.291667,0.030493247
45,72,89173.45261,104650199.9,44,3669.243243,0.015888098
46,73,33034.66094,51771864.99,45,3428.923077,0.030442391
47,75,114009.9889,183100917.8,46,2980.327586,0.02762367
48,76,68146.78437,48237925.06,47,3082,0.018991997
49,77,34662.44129,42651832.13,48,3541.08,0.028590148
50,78,39797.36381,67677111.13,49,2964.954545,0.02638397
51,79,28256.60211,44975546.93,50,3048,0.030098668
52,81,28386.71899,34485430.76,51,3224.833333,0.031164401
53,83,36940.1948,56650181.43,52,3478.6,0.024463865
54,84,38088.39489,35462930.77,53,2630.4375,0.043077435
55,88,53342.43586,42391696.96,54,2657.65,0.031192971
56,90,51583.31276,66154252.97,55,3607,0.019750868
57,94,44570.16469,65641894.06,56,2322.291667,0.018013815
58,100,283995.9451,205185208.4,57,2812.857143,0.012045705
59,101,78292.59439,84672755.28,58,7017.111111,0.022453051
60,102,52865.28107,133314470.8,59,2642.538462,0.022392513
61,103,48549.93798,100921595,60,2758.638889,0.029251543
62,104,75785.94551,210504683.7,61,2533.348485,0.018283384
63,105,133234.8819,347328139.6,62,2819.492754,0.015189288
64,106,106986.7069,172508228.2,63,3762.735294,0.022339819
65,107,69289.88377,207501246.6,64,3665.15,0.018437172
66,108,73560.88901,139601011.7,65,3479.515152,0.024062914
67,109,132333.981,322683809.4,66,3868.095238,0.016660511
68,110,72812.61086,112103959.2,67,5490.545455,0.015574983
69,111,97451.10362,260157155.7,68,2908.95,0.013870984
70,112,41644.03616,88945075.95,69,3658.774194,0.018003562
71,113,214242.9976,389637204.2,70,2303.351852,0.027190648
72,114,113660.1132,180006200.2,71,3396,0.016933949
73,115,58272.20435,113293878.5,72,4743.59375,0.019901841
74,120,96171.734,232535269.1,73,3029.657143,0.022133575
75,121,138115.7212,475716087.7,74,4306.346154,NA
76,122,154880.4383,454798513.2,75,4154.151515,0.012342527
77,123,120834.9748,460864353,76,5539.875,0.007175252
