"","before","after"
"1","MONTEFIORE MEDICAL CENTER","MONTEFIORE MEDICAL CENTER"
"2","MOUNT SINAI SCHOOL OF MEDICINE","MOUNT SINAI SCHOOL OF MEDICINE"
"3","WEILL MEDICAL COLLEGE OF CORNELL","WEILL MEDICAL COLLEGE OF CORNELL"
"4","ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI","MOUNT SINAI SCHOOL OF MEDICINE"
"5","JAND INC.","JAND INC."
"6","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"7","BIMC FACULTY PRACTICE","BIMC FACULTY PRACTICE"
"8","MAIMONIDES MEDICAL CENTER","MAIMONIDES MEDICAL CENTER"
"9","BETH ISRAEL MEDICAL CENTER","BETH ISRAEL MEDICAL CENTER"
"10","CENTER FOR FAMILY SUPPORT, NEW JERSEY, INC.","CENTER FOR FAMILY SUPPORT, NEW JERSEY, INC."
"11","YOUNG ADULT INSTITUTE, INC.","YOUNG ADULT INSTITUTE, INC."
"12","MEMORIAL SLOAN KETTERING CANCER CENTER","MEMORIAL SLOAN KETTERING CANCER CENTER"
"13","NEW YORK PRESBYTERIAN HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"14","WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY","WEILL MEDICAL COLLEGE OF CORNELL"
"15","HEARTSHARE HUMAN SERVICES OF NEW YORK","HEARTSHARE HUMAN SERVICES OF NEW YORK"
"16","NYSARC INC NYC CHAPTER","NYSARC INC NYC CHAPTER"
"17","STATEN ISLAND UNIVERSITY HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"18","MOUNT SINAI HOSPITAL","MOUNT SINAI SCHOOL OF MEDICINE"
"19","SLRHC FACULTY PRACTICE","SLRHC FACULTY PRACTICE"
"20","THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK","THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK"
"21","UNIVERSITY PHYSICIANS OF BROOKLYN, INC.","UNIVERSITY PHYSICIANS OF BROOKLYN, INC."
"22","GENERAL VISION SERVICES LLC","GENERAL VISION SERVICES LLC"
"23","NEW YORK UNIVERSITY MEDICAL CENTER","NEW YORK UNIVERSITY MEDICAL CENTER"
"24","TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK","THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK"
"25","CARE FOR THE HOMELESS","CARE FOR THE HOMELESS"
"26","BRONX LEBANON HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"27","LINCOLN MEDICAL AND MENTAL HEALTH CENTER","LINCOLN MEDICAL AND MENTAL HEALTH CENTER"
"28","LONG ISLAND COLLEGE HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"29","SAINT VINCENT CATHOLIC MEDICAL CENTER","SAINT VINCENT CATHOLIC MEDICAL CENTER"
"30","MOUNT SINAI MEDICAL CENTER","MOUNT SINAI SCHOOL OF MEDICINE"
"31","SENIORBRIDGE FAMILY COMPANIES (FL), INC.","SENIORBRIDGE FAMILY COMPANIES (FL), INC."
"32","URBAN HEALTH PLAN, INC.","URBAN HEALTH PLAN, INC."
"33","JACOBI MEDICAL CENTER","JACOBI MEDICAL CENTER"
"34","LENOX HILL HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"35","SUNY DOWNSTATE MEDICAL CENTER","NYSARC INC NYC CHAPTER"
"36","THE NEW YORK AND PRESBYTERIAN HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"37","CENTER FOR FAMILY SUPPORT, NEW JERSEY, INC","CENTER FOR FAMILY SUPPORT, NEW JERSEY, INC."
"38","INTERFAITH MEDICAL CENTER","INTERFAITH MEDICAL CENTER"
"39","LICH FACULTY PRACTICE","LICH FACULTY PRACTICE"
"40","SUNY HEALTH SCIENCE CENTER AT BROOKLYN","NYSARC INC NYC CHAPTER"
"41","CATHOLIC GUARDIAN SOCIETY & HOME BUREAU","CATHOLIC GUARDIAN SOCIETY & HOME BUREAU"
"42","PROFESSIONAL ORTHOPEDIC AND SPORTS PHYSICAL THERAPY PC","PROFESSIONAL ORTHOPEDIC AND SPORTS PHYSICAL THERAPY PC"
"43","RICHMOND UNIVERSITY MEDICAL CENTER","RICHMOND UNIVERSITY MEDICAL CENTER"
"44","UNITED CEREBRAL PALSY ASSOC OF NYS INC.","NYSARC INC NYC CHAPTER"
"45","BELLEVUE HOSPITAL CENTER","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"46","BLOCK INSTITUTE, INC.","YOUNG ADULT INSTITUTE, INC."
