"","x"
"1","NEW YORK UNIVERSITY"
"2","MONTEFIORE MEDICAL CENTER"
"3","MOUNT SINAI SCHOOL OF MEDICINE"
"4","WEILL MEDICAL COLLEGE OF CORNELL"
"5","ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI"
"6","JAND INC."
"7","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"8","BIMC FACULTY PRACTICE"
"9","MAIMONIDES MEDICAL CENTER"
"10","BETH ISRAEL MEDICAL CENTER"
"11","CENTER FOR FAMILY SUPPORT, NEW JERSEY, INC."
"12","YOUNG ADULT INSTITUTE, INC."
"13","MEMORIAL SLOAN KETTERING CANCER CENTER"
"14","NEW YORK PRESBYTERIAN HOSPITAL"
"15","WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY"
"16","HEARTSHARE HUMAN SERVICES OF NEW YORK"
"17","NYSARC INC NYC CHAPTER"
"18","STATEN ISLAND UNIVERSITY HOSPITAL"
"19","MOUNT SINAI HOSPITAL"
"20","SLRHC FACULTY PRACTICE"
"21","THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK"
"22","UNIVERSITY PHYSICIANS OF BROOKLYN, INC."
"23","GENERAL VISION SERVICES LLC"
"24","NEW YORK UNIVERSITY MEDICAL CENTER"
"25","TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK"
"26","CARE FOR THE HOMELESS"
"27","BRONX LEBANON HOSPITAL"
"28","LINCOLN MEDICAL AND MENTAL HEALTH CENTER"
"29","LONG ISLAND COLLEGE HOSPITAL"
"30","SAINT VINCENT CATHOLIC MEDICAL CENTER"
"31","MOUNT SINAI MEDICAL CENTER"
"32","SENIORBRIDGE FAMILY COMPANIES (FL), INC."
"33","URBAN HEALTH PLAN, INC."
"34","JACOBI MEDICAL CENTER"
"35","LENOX HILL HOSPITAL"
"36","SUNY DOWNSTATE MEDICAL CENTER"
"37","THE NEW YORK AND PRESBYTERIAN HOSPITAL"
"38","CENTER FOR FAMILY SUPPORT, NEW JERSEY, INC"
"39","INTERFAITH MEDICAL CENTER"
"40","LICH FACULTY PRACTICE"
"41","SUNY HEALTH SCIENCE CENTER AT BROOKLYN"
"42","CATHOLIC GUARDIAN SOCIETY & HOME BUREAU"
"43","PROFESSIONAL ORTHOPEDIC AND SPORTS PHYSICAL THERAPY PC"
"44","RICHMOND UNIVERSITY MEDICAL CENTER"
"45","UNITED CEREBRAL PALSY ASSOC OF NYS INC."
"46","BELLEVUE HOSPITAL CENTER"
"47","BLOCK INSTITUTE, INC."
"48","FEDERATION OF MULTICULTURAL PROGRAMS, INC"
"49","INSTITUTES OF APPLIED HUMAN DYNAMICS"
"50","KINGSBROOK JEWISH MEDICAL CENTER"
"51","NEW YORK DIALYSIS SERVICES, INC."
"52","NEW YORK SOCIETY FOR THE RELIEF OF THE RUPTURED AND CRIPPLED MAINTAINI"
"53","WOODHULL HOSPITAL"
"54","CABRINI MEDICAL CENTER"
"55","DEPARTMENT OF EDUCATION"
"56","INSTITUTE FOR COMMUNITY LIVING"
"57","NEW YORK SOCIETY FOR THE RELIEF OF THE RUPTURED AND CRIPPLED"
"58","START TREATMENT AND RECOVERY CENTERS INC"
"59","TEG INC."
"60","WILLIAM F RYAN COMMUNITY HEALTH CENTER INC"
"61","WYCKOFF HEIGHTS MEDICAL CENTER"
"62","BROWNSVILLE COMMUNITY DEVELOPMENT CORPORATION"
"63","JBFCS"
"64","JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC"
"65","LINCOLN HOSPITAL"
"66","LUTHERAN MEDICAL CENTER"
"67","NEW YORK PRESBYTERIAN"
"68","NYU LANGONE MEDICAL CENTER"
"69","NYU MEDICAL CENTER"
"70","PUBLIC HEALTH SOLUTIONS"
"71","THERACARE"
"72","BRONX LEBANON HOSPITAL CENTER"
"73","BROOKLYN BUREAU OF COMMUNITY SERVICE"
"74","COMMUNITY HEALTHCARE NETWORK INC"
"75","DAYTOP VILLAGE, INC"
"76","DR MARTIN LUTHER KING JR HEALTH CENTER INC"
"77","GRUEN-ROSS OPTIKA LLC"
"78","HARLEM HOSPITAL CENTER"
"79","HOSPITAL FOR SPECIAL SURGERY"
"80","METROPOLITAN HOSPITAL CENTER"
"81","MT. SINAI SCHOOL OF MEDICINE"
"82","UNITED CEREBRAL PALSY OF NEW YORK CITY INC"
"83","UNIVERSITY PHYSICIANS OF BROOKLYN"
"84","WEILL CORNELL MEDICAL COLLEGE"
"85","ACKERMAN INSTITUTE FOR THE FAMILY"
"86","BROOKLYN NUCLEAR SPECT IMAGING, PC"
"87","CFO RETAIL, INC."
"88","COMMUNITY HEALTHCARE NETWORK, INC"
"89","EMPIRE STATE ORTHOPAEDICS, PLLC"
"90","JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES"
"91","JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC."
"92","MEMORIAL SLOAN-KETTERING CANCER CENTER"
"93","METROPOLITAN HOSPITAL"
"94","METROPOLITAN LITHOTRIPTOR ASSOCIATES, PC"
"95","NEW YORK FOUNDLING"
"96","NEW YORK METHODIST HOSPITAL"
