"","ctuniq","lot","bldgclass","borocode","borough","id","x","y"
"1","MN030900",66,"M1",1,"MN","1",-73.912985194117,40.8755494600764
"2","MN030900",68,"K1",1,"MN","2",-73.9131047220629,40.8753958473281
"3","MN030900",181,"K2",1,"MN","3",-73.9100202180244,40.8781299420023
"4","MN030900",528,"K1",1,"MN","4",-73.9104301070473,40.8745045217823
"5","MN030900",593,"K1",1,"MN","5",-73.9088447258324,40.8756780091577
"6","MN030900",603,"M1",1,"MN","6",-73.9090910289365,40.8753735425046
"7","MN030900",606,"K2",1,"MN","7",-73.909311793553,40.8752337368441
"8","MN030900",607,"K2",1,"MN","8",-73.9094817135278,40.8752558277941
"9","MN030900",608,"K2",1,"MN","9",-73.9094240152693,40.8751405054049
"10","MN030900",609,"K2",1,"MN","10",-73.9095903190923,40.8751625933573
"11","MN030900",610,"K1",1,"MN","11",-73.9095507004488,40.875047285192
"12","MN030900",611,"K1",1,"MN","12",-73.9097279264451,40.8750144876393
"13","MN030900",613,"K1",1,"MN","13",-73.9097389568425,40.8748800062898
"14","MN030900",616,"K1",1,"MN","14",-73.9099704361697,40.874836272011
"15","MN030900",619,"K1",1,"MN","15",-73.9102382931105,40.874630628651
"16","MN030900",654,"K1",1,"MN","16",-73.9091153358699,40.8734632548367
"17","MN030900",665,"K2",1,"MN","17",-73.9102973142529,40.8737660960063
"18","MN030900",700,"K1",1,"MN","18",-73.9088155696761,40.8732077617993
"19","SI001500",220,"K1",5,"SI","19",-74.074000660473,40.6381436741233
"20","SI000700",40,"K2",5,"SI","20",-74.0867463727025,40.6476207472302
"21","SI000300",1,"K4",5,"SI","21",-74.0760117354077,40.6386172105607
"22","SI000300",5,"K2",5,"SI","22",-74.0760264293878,40.6388642317098
"23","SI000300",74,"P8",5,"SI","23",-74.076548569705,40.6417294428475
"24","SI000300",92,"K1",5,"SI","24",-74.0761948444068,40.6412026787479
"25","SI000300",95,"K5",5,"SI","25",-74.0761694303725,40.6410352635984
"26","SI000300",113,"K2",5,"SI","26",-74.0758368881921,40.6401187245904
"27","SI000300",60,"K1",5,"SI","27",-74.0772464281046,40.6438205032607
"28","SI000300",63,"K1",5,"SI","28",-74.0773763610879,40.6440015717752
"29","SI000300",70,"K6",5,"SI","29",-74.0770449728642,40.6441115856998
"30","SI000300",80,"K1",5,"SI","30",-74.0769114466375,40.6439387535742
"31","SI000300",16,"I5",5,"SI","31",-74.0780340863352,40.6425463907449
"32","SI000700",53,"M1",5,"SI","32",-74.0849944893637,40.6472103375427
"33","SI000300",68,"M1",5,"SI","33",-74.0782922389608,40.6414483007015
"34","SI000300",149,"K2",5,"SI","34",-74.0776831098679,40.6382043754653
"35","SI001100",121,"K4",5,"SI","35",-74.0781769289847,40.6383687280519
"36","SI001100",123,"K4",5,"SI","36",-74.0782598973085,40.6384510152412
"37","SI000900",49,"K1",5,"SI","37",-74.0790821848468,40.6421449359487
"38","SI001100",38,"K2",5,"SI","38",-74.081335713957,40.6374223301478
"39","SI001100",70,"M1",5,"SI","39",-74.0802551697319,40.637735995194
