"","BoroCT2000","Name","popdens","povrate","unemp","busdens","subdens","subacc","intdens","landind","nonres","resid","ptrans","pwalk","propoa","propnonw","offpcap","avg_er_charges_tot","avg_charges_tot","avgChronCond","ctrdlong","ctrdlat"
"1",1000100,NA,0,NA,NA,0,0,0,0,0,1,0,NA,NA,NA,NA,0.084991718,NA,NA,NA,-74.039423,40.699746
"2",1000201,NA,51062.98126,0.304518072,0.125178827,30.67766972,0,0,76.69417431,0.981991277,0.432901709,0.567098291,0.538075314,0.249372385,0.106939021,0.785821568,0.019448373,1706.46325,40949.9729607251,5.57391304347826,-73.986096,40.712861
"3",1000202,NA,14403.66064,0.280680977,0.171439197,25.28066808,0,0,61.09494787,0.936969026,0.374470149,0.625529851,0.525392428,0.209602955,0.201842914,0.522158842,0.019448373,1535.77158241758,47645.0790896159,5.50511247443763,-73.982371,40.712974
"4",1000500,NA,0,NA,NA,0,0,0,65.84877941,0,0,1,NA,NA,NA,NA,0.084991718,NA,NA,NA,-74.019214,40.689063
"5",1000600,NA,63579.86327,0.342547877,0.113455414,67.32960431,15.53760099,1,98.4048063,0.940208367,0.377738362,0.622261638,0.538019757,0.310130944,0.169436299,0.866813294,0.019448373,1354.75900596421,35246.381478458,5.32987012987013,-73.989371,40.713587
"6",1000700,NA,5014.721146,0.090425532,0.039141414,47.6583847,84.72601724,1,206.519667,0.27984303,0.924310314,0.075689686,0.470509383,0.439678284,0,0.367476241,0.084991718,1988.98034482759,44142.1049438202,5.625,-74.008588,40.706019
"7",1000800,NA,55375.48505,0.266905549,0.086762422,30.4344518,0,0,223.1859799,0.994344648,0.537601036,0.462398964,0.404921217,0.451759119,0.159292846,0.891911697,0.027497567,1296.23966165414,27112.9678886169,4.91843971631206,-73.9938,40.712451
"8",1000900,NA,5563.622319,0.115114236,0.051373955,73.33421334,44.00052801,1,141.7794791,0.094086064,0.975897556,0.024102444,0.461832061,0.301526718,0.044815466,0.275043937,0.084991718,2292.28230769231,49263.4741176471,6,-74.012449,40.704085
"9",1001001,NA,22610.30374,0.118055556,0,69.78488808,0,0,174.4622202,0.229608198,0.06114017,0.93885983,0.543209877,0.08994709,0.340277778,0.19058642,0.019448373,1964.09168918919,67123.4392462312,5.75,-73.97803,40.715801
"10",1001002,NA,45041.00719,0.397734232,0.281391831,60.20630695,0,0,127.1022036,0.291378432,0.079101684,0.920898316,0.543948127,0.308357349,0.128323184,0.727461756,0.019448373,1692.32692307692,59262.3241058655,5.4349593495935,-73.976319,40.719003
"11",1001200,NA,26973.60229,0.241197183,0.078500707,23.34703026,0,0,225.6879592,0.830420739,0.294099987,0.705900013,0.463054187,0.197044335,0.26457011,0.396133872,0.019448373,1487.76633962264,45976.4916572077,5.86319218241042,-73.982156,40.717064
"12",1001300,NA,5217.565805,0.173076923,0.051191527,120.4053647,120.4053647,1,163.8850798,0.261338888,0.929726981,0.070273019,0.642857143,0.245173745,0.008974359,0.239102564,0.084991718,NA,NA,NA,-74.012812,40.709045
"13",1001401,NA,31158.61227,0.065034965,0.037749288,42.07780186,10.51945046,1,84.15560371,0.470779098,0.136262147,0.863737853,0.6040571,0.208865515,0.311613775,0.149898717,0.019448373,1546.83245487365,60936.0548157895,6.13186813186813,-73.985965,40.71556
"14",1001402,NA,27421.77211,0.33189798,0.067392784,9.083064626,9.083064626,1,190.7443572,0.989788605,0.449474276,0.550525725,0.545523521,0.34370258,0.170255051,0.699238158,0.019448373,1240.086875,40233.5958861789,5.11428571428571,-73.985797,40.717531
"15",1001501,NA,23685.07793,0.091000756,0.102272727,99.40721906,26.15979449,1,177.8866025,0.658051597,0.792381772,0.207618228,0.451371571,0.395012469,0.276783742,0.334658714,0.084991718,1394.95329842932,38570.3403157172,5.23182711198428,-74.00365,40.709677
"16",1001502,NA,24976.36856,0.119158045,0.033525595,25.37604121,76.12812363,1,183.9762988,0.504818385,0.85184571,0.14815429,0.619930475,0.268057165,0.005842012,0.242316485,0.084991718,2162.30769230769,62273.0908275862,5.88235294117647,-74.006133,40.708133
