"","Name","BoroCT2000","popdens","povrate","unemp","busdens","subdens","subacc","intdens","landind","nonres","resid","ptrans","pwalk","propoa","propnonw","offpcap","num_er_08","er_charges_08","pcap_er_charges_08","num_er_09","er_charges_09","pcap_er_charges_09","num_er_10","er_charges_10","pcap_er_charges_10","tot_er_pats","tot_er_charges","pcap_er_charges_tot","num_pat_08","charges_08","pcap_hc_charges_08","num_pat_09","charges_09","pcap_hc_charges_09","num_pat_10","charges_10","pcap_hc_charges_10","tot_pats","tot_charges","pcap_hc_charges_tot","num_high_utils_08","num_high_utils_09","num_high_utils_10","ctrdlong","ctrdlat"
"1","Annadale",5017302.5,2014.8348635,0.032999165,0.034214416,8.026514572,1.3282708505,0.5,62.364734055,0.495242501,0.1449480045,0.8550519955,0.188020319,0.003682881,0.0832467185,0.050796169,0.007175252,36.5,55947.19,1534.53839366516,41.5,74140.615,1785.34852380952,32.5,49366.425,1518.01856060606,110.5,179454.23,1625.23964985994,141.5,5077826.915,35910.3313325342,140.5,6319727.905,44981.4092659574,125.5,5347892.3,42312.1995298005,407.5,16745447.12,41044.5925988292,20.5,24.5,30.5,-74.175962,40.5354995
"2","Arden Heights",5017010,8517.349579,0.042736888,0.052269888,12.85221967,0,0,82.62141217,0.491151306,0.143331844,0.856668156,0.256329823,0.006273807,0.059711145,0.098081483,0.007175252,58,110187.77,1899.78913793103,60,118641.25,1977.35416666667,58,100454.77,1731.97879310345,176,329283.79,1870.930625,211,8864017.16,42009.56,209,10378552.04,49658.1437320574,190,7748659.82,40782.4201052632,610,26991229.02,44247.9164262295,40,37,35,-74.197382,40.549266
"3","Arrochar",5005267.33333333,6064.650981,0.179944613333333,0.0689150453333333,30.61787089,0,0,104.50738773,0.715097490333333,0.248763563,0.751236437,0.352624842,0.0334077656666667,0.144022958333333,0.209675094,0.012342527,40.3333333333333,61754.1366666667,1530.86800573301,40.3333333333333,66403.0766666667,1643.28371273713,35,58111.4733333333,1643.92809702426,115.666666666667,186268.686666667,1608.06841563056,138.333333333333,5333433.15333333,38977.7155806182,137.666666666667,6421296.84333333,46857.8774461451,128,5375676.68333333,42677.1742391455,404,17130406.68,42845.4287566077,26,25,28,-74.0710946666667,40.598385
"4","Arverne",4095933.33333333,4367.53343933333,0.265221531333333,0.234998941333333,0,4.98319596366667,0.666666666666667,108.58983263,0.660793978,0.214041249333333,0.785958750666667,0.424364023666667,0.130024287666667,0.113733149,0.840580772,0.012045705,NA,NA,NA,48.3333333333333,73977.9666666667,1396.17447026658,NA,NA,NA,111,166203.513333333,1358.78506108668,83.6666666666667,5994069.39333333,58955.7584258586,83,7094217.84666667,72357.7183077386,60.6666666666667,4094137.66333333,59105.8125594036,227.333333333333,17182424.9033333,63978.2390026898,NA,NA,NA,-73.797771,40.5928406666667
"5","Astoria",4009017.24137931,18047.5662018872,NA,NA,0.963080846827586,3.55881003410345,0.310344827586207,70.0461506024138,NA,NA,NA,NA,NA,NA,NA,0.016933949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.9214366724138,40.7653146724138
"6","Astoria Heights",4031700,10452.52209,0.045180232,0.05958971,6.819456592,0,0,100.5869847,0.639221313,0.199675722,0.800324278,0.372101195,0.039353479,0.153808514,0.127548524,0.016933949,59,88766.67,1504.51983050847,67,117104.94,1747.83492537313,57,92914.69,1630.08228070175,183,298786.3,1632.71202185792,222,7836350,35298.8738738739,218,8484378.94,38919.1694495413,199,6713120.2,33734.272361809,639,23033849.14,36046.7122691706,31,36,40,-73.892142,40.767122
"7","Auburndale",4129267,6940.04491,NA,NA,21.6642022785,0,0,80.820211145,0.53430604025,0.26500641025,0.734993589916667,NA,NA,NA,NA,0.0152657475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.79303025,40.7519283333333
"8","Bath Beach",3025510,16375.9388284155,0.16893764685,0.09734570175,30.91536817405,1.334952777,0.15,72.8831998845,0.5980619172,0.2865115247,0.7134884754,0.48567686265,0.0548168059,0.1937498706,0.26200053325,0.01587893635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,524.85,22101313.3355,43588.2202826004,NA,NA,NA,-73.9999128,40.5992361
"9","Battery Park",1031701,15910.14603,0.054727614,0.025101644,39.85008398,0,0,119.550252,0.806068117,0.720188489,0.279811511,0.453488372,0.378368402,0.042329368,0.248841578,0.084991718,104,187849.4,1806.24423076923,110,227269.59,2066.08718181818,86,176133.59,2048.065,300,591252.58,1970.84193333333,304,15622680.44,51390.3961842105,302,16239955.46,53774.6869536424,260,12352954.6,47511.3638461538,866,44215590.5,51057.2638568129,84,75,81,-74.015796,40.712077
"10","Bay Ridge",3007800.1,16157.65732755,NA,NA,27.1025497954,1.9017254744,0.3,69.754367218,0.5488376912,0.24322023965,0.75677976045,NA,NA,NA,NA,0.014589612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.02763265,40.63108225
